service_id,service_name,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
WKO00_MTWThF_20220201_20220414,00_Secondary School Terms (1st Term only) (Weekday),1,1,1,1,1,0,0,20220201,20220414
WKO00_MTWThF_20221017_20221220,00_Secondary School Terms (2nd May) (Weekday),1,1,1,1,1,0,0,20221017,20221220
WKO00_MTWThF_20220725_20220930,00_Secondary School Terms (2nd May) (Weekday),1,1,1,1,1,0,0,20220725,20220930
WKO00_MTWThF_20220502_20220708,00_Secondary School Terms (2nd May) (Weekday),1,1,1,1,1,0,0,20220502,20220708
WKO00_SSu_20220201_20220501,00_Year_Round_Until_1st_May (Weekend),0,0,0,0,0,1,1,20220201,20220501
WKO00_S_20220201_20220501,00_Year_Round_Until_1st_May (Saturday only),0,0,0,0,0,1,0,20220201,20220501
WKO00_MTWThF_20220201_20220501,00_Year_Round_Until_1st_May (Weekday),1,1,1,1,1,0,0,20220201,20220501
WKO00_SSu_20220502_20240731,00_Year_Round_LC_2nd May (Weekend),0,0,0,0,0,1,1,20220502,20240731
WKO00_Su_20220502_20240731,00_Year_Round_LC_2nd May (Sunday only),0,0,0,0,0,0,1,20220502,20240731
WKO00_S_20220502_20240731,00_Year_Round_LC_2nd May (Saturday only),0,0,0,0,0,1,0,20220502,20240731
WKO00_MTWThF_20220502_20240731,00_Year_Round_LC_2nd May (Weekday),1,1,1,1,1,0,0,20220502,20240731
WKO00_MTWThF_20211018_20211217,00_Raglan_School_Terms (Ends 31st Jan) (Weekday),1,1,1,1,1,0,0,20211018,20211217
WKO00_MTWThF_20221219_20230129,00_Summer School Holidays (1st Feb) (Weekday),1,1,1,1,1,0,0,20221219,20230129
WKO00_MTWThF_20221001_20221016,00_Secondary School Terms Holidays (Exclu. Dec) (1st Feb) (Weekday),1,1,1,1,1,0,0,20221001,20221016
WKO00_MTWThF_20220709_20220724,00_Secondary School Terms Holidays (Exclu. Dec) (1st Feb) (Weekday),1,1,1,1,1,0,0,20220709,20220724
WKO00_MTWThF_20220416_20220501,00_Secondary School Terms Holidays (Exclu. Dec) (1st Feb) (Weekday),1,1,1,1,1,0,0,20220416,20220501
WKO00_MTWThF_20221017_20221220_1,00_Secondary School Terms (1st Feb) (Weekday),1,1,1,1,1,0,0,20221017,20221220
WKO00_MTWThF_20220725_20220930_1,00_Secondary School Terms (1st Feb) (Weekday),1,1,1,1,1,0,0,20220725,20220930
WKO00_MTWThF_20220502_20220708_1,00_Secondary School Terms (1st Feb) (Weekday),1,1,1,1,1,0,0,20220502,20220708
WKO00_MTWThF_20220201_20220414_1,00_Secondary School Terms (1st Feb) (Weekday),1,1,1,1,1,0,0,20220201,20220414
WKO00_SSu_20220201_20220414,00_Labour Weekend to Easter Weekend (1st Feb) (Weekend),0,0,0,0,0,1,1,20220201,20220414
WKO00_SSu_20220415_20221021,00_Easter Weekend to Labour Weekend (1st Feb) (Weekend),0,0,0,0,0,1,1,20220415,20221021
WKO00_SSu_20211004_20211219,00_Year_Round_B_Christmas (Weekend),0,0,0,0,0,1,1,20211004,20211219
WKO00_S_20211004_20211219,00_Year_Round_B_Christmas (Saturday only),0,0,0,0,0,1,0,20211004,20211219
WKO00_MTWThF_20211004_20211219,00_Year_Round_B_Christmas (Weekday),1,1,1,1,1,0,0,20211004,20211219
WKO00_MWF_20211004_20211219,00_Year_Round_B_Christmas (MWF),1,0,1,0,1,0,0,20211004,20211219
WKO00_TTh_20211004_20211219,00_Year_Round_B_Christmas (TuTh),0,1,0,1,0,0,0,20211004,20211219
WKO00_SSu_20220201_20260313,00_Year_Round_A_Christmas (Weekend),0,0,0,0,0,1,1,20220201,20260313
WKO00_Su_20220201_20260313,00_Year_Round_A_Christmas (Sunday only),0,0,0,0,0,0,1,20220201,20260313
WKO00_S_20220201_20260313,00_Year_Round_A_Christmas (Saturday only),0,0,0,0,0,1,0,20220201,20260313
WKO00_MTWThF_20220201_20260313,00_Year_Round_A_Christmas (Weekday),1,1,1,1,1,0,0,20220201,20260313
WKO00_MWF_20220201_20260313,00_Year_Round_A_Christmas (MWF),1,0,1,0,1,0,0,20220201,20260313
WKO00_TTh_20220201_20260313,00_Year_Round_A_Christmas (TuTh),0,1,0,1,0,0,0,20220201,20260313
WKO00_MTWThF_20221001_20221016_1,00_Secondary School Terms Holidays (Exclu. Dec) (Weekday),1,1,1,1,1,0,0,20221001,20221016
WKO00_MTWThF_20220709_20220724_1,00_Secondary School Terms Holidays (Exclu. Dec) (Weekday),1,1,1,1,1,0,0,20220709,20220724
WKO00_MTWThF_20220416_20220501_1,00_Secondary School Terms Holidays (Exclu. Dec) (Weekday),1,1,1,1,1,0,0,20220416,20220501
WKO00_SSu_20220201_20260306,00_Year_Round_B_A_Christmas (Weekend),0,0,0,0,0,1,1,20220201,20260306
WKO00_S_20220201_20260306,00_Year_Round_B_A_Christmas (Saturday only),0,0,0,0,0,1,0,20220201,20260306
WKO00_MTWThF_20220201_20260306,00_Year_Round_B_A_Christmas (Weekday),1,1,1,1,1,0,0,20220201,20260306
WKO00_SSu_20211004_20211219_1,00_Year_Round_B_A_Christmas (Weekend),0,0,0,0,0,1,1,20211004,20211219
WKO00_S_20211004_20211219_1,00_Year_Round_B_A_Christmas (Saturday only),0,0,0,0,0,1,0,20211004,20211219
WKO00_MTWThF_20211004_20211219_1,00_Year_Round_B_A_Christmas (Weekday),1,1,1,1,1,0,0,20211004,20211219
WKO00_S_20211220_20220131,00_Year_Round_Christmas_6 (Saturday only),0,0,0,0,0,1,0,20211220,20220131
WKO00_MTWThF_20211220_20220131,00_Year_Round_Christmas_6 (Weekday),1,1,1,1,1,0,0,20211220,20220131
WKO00_MTWThF_20211220_20220131_1,00_Year_Round_Christmas_5 (Weekday),1,1,1,1,1,0,0,20211220,20220131
WKO00_MTWThF_20211220_20220131_2,00_Year_Round_Christmas_4 (Weekday),1,1,1,1,1,0,0,20211220,20220131
WKO00_SSu_20211220_20220131,00_Year_Round_Christmas_3 (Weekend),0,0,0,0,0,1,1,20211220,20220131
WKO00_MTWThF_20211220_20220131_3,00_Year_Round_Christmas_3 (Weekday),1,1,1,1,1,0,0,20211220,20220131
WKO00_MWF_20211220_20220131,00_Year_Round_Christmas_3 (MWF),1,0,1,0,1,0,0,20211220,20220131
WKO00_TTh_20211220_20220131,00_Year_Round_Christmas_3 (TuTh),0,1,0,1,0,0,0,20211220,20220131
WKO00_S_20211220_20220131_1,00_Year_Round_Christmas_2 (Saturday only),0,0,0,0,0,1,0,20211220,20220131
WKO00_MTWThF_20211220_20220131_4,00_Year_Round_Christmas_2 (Weekday),1,1,1,1,1,0,0,20211220,20220131
WKO00_SSu_20211220_20220131_1,00_Year_Round_Christmas_1 (Weekend),0,0,0,0,0,1,1,20211220,20220131
WKO00_Su_20211220_20220131,00_Year_Round_Christmas_1 (Sunday only),0,0,0,0,0,0,1,20211220,20220131
WKO00_S_20211220_20220131_2,00_Year_Round_Christmas_1 (Saturday only),0,0,0,0,0,1,0,20211220,20220131
WKO00_MTWThF_20211220_20220131_5,00_Year_Round_Christmas_1 (Weekday),1,1,1,1,1,0,0,20211220,20220131
WKO00_Su_20211129_20211219,00_Year_Round_17_Nov29 (Sunday only),0,0,0,0,0,0,1,20211129,20211219
WKO00_S_20211129_20211219,00_Year_Round_17_Nov29 (Saturday only),0,0,0,0,0,1,0,20211129,20211219
WKO00_MTWThF_20211129_20211219,00_Year_Round_17_Nov29 (Weekday),1,1,1,1,1,0,0,20211129,20211219
WKO00_MTWThF_20221017_20221220_2,00_Secondary School Terms (4th Oct) (Weekday),1,1,1,1,1,0,0,20221017,20221220
WKO00_MTWThF_20220725_20220930_2,00_Secondary School Terms (4th Oct) (Weekday),1,1,1,1,1,0,0,20220725,20220930
WKO00_MTWThF_20220502_20220708_2,00_Secondary School Terms (4th Oct) (Weekday),1,1,1,1,1,0,0,20220502,20220708
WKO00_MTWThF_20220201_20220414_2,00_Secondary School Terms (4th Oct) (Weekday),1,1,1,1,1,0,0,20220201,20220414
WKO00_MTWThF_20211018_20211217_1,00_Secondary School Terms (4th Oct) (Weekday),1,1,1,1,1,0,0,20211018,20211217
WKO00_MTWThF_20211220_20220131_6,00_Secondary School Terms Holidays (4th Oct) (Weekday),1,1,1,1,1,0,0,20211220,20220131
WKO00_SSu_20211004_20251108,00_Pokeno_Year_Round_Oct_No_Public_Hols (Weekend),0,0,0,0,0,1,1,20211004,20251108
WKO00_MTWThF_20211004_20251108,00_Pokeno_Year_Round_Oct_No_Public_Hols (Weekday),1,1,1,1,1,0,0,20211004,20251108
WKO00_MTWThF_20220105_20250207,00_Year_Round_Taupo North_Christmas (Weekday),1,1,1,1,1,0,0,20220105,20250207
WKO00_MTWThF_20211004_20211224,00_Year_Round_Taupo North_Christmas (Weekday),1,1,1,1,1,0,0,20211004,20211224
WKO00_Su_20220201_20241109,00_Year_Round_Oct Meteor (Sunday only),0,0,0,0,0,0,1,20220201,20241109
WKO00_S_20220201_20241109,00_Year_Round_Oct Meteor (Saturday only),0,0,0,0,0,1,0,20220201,20241109
WKO00_MTWThF_20220201_20241109,00_Year_Round_Oct Meteor (Weekday),1,1,1,1,1,0,0,20220201,20241109
WKO00_S_20221224_20221224,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20221224,20221224
WKO00_S_20221231_20221231,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20221231,20221231
WKO00_S_20221217_20221217,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20221217,20221217
WKO00_S_20221210_20221210,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20221210,20221210
WKO00_S_20221203_20221203,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20221203,20221203
WKO00_S_20221126_20221126,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20221126,20221126
WKO00_S_20221119_20221119,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20221119,20221119
WKO00_S_20221022_20221022,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20221022,20221022
WKO00_S_20221029_20221029,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20221029,20221029
WKO00_S_20221112_20221112,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20221112,20221112
WKO00_S_20221105_20221105,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20221105,20221105
WKO00_S_20221015_20221015,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20221015,20221015
WKO00_S_20221008_20221008,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20221008,20221008
WKO00_S_20221001_20221001,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20221001,20221001
WKO00_S_20220924_20220924,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220924,20220924
WKO00_S_20220917_20220917,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220917,20220917
WKO00_S_20220903_20220903,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220903,20220903
WKO00_S_20220910_20220910,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220910,20220910
WKO00_S_20220813_20220813,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220813,20220813
WKO00_S_20220723_20220723,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220723,20220723
WKO00_S_20220820_20220820,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220820,20220820
WKO00_S_20220806_20220806,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220806,20220806
WKO00_S_20220730_20220730,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220730,20220730
WKO00_S_20220827_20220827,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220827,20220827
WKO00_S_20220716_20220716,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220716,20220716
WKO00_S_20220709_20220709,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220709,20220709
WKO00_S_20220702_20220702,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220702,20220702
WKO00_S_20220625_20220625,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220625,20220625
WKO00_S_20220618_20220618,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220618,20220618
WKO00_S_20220604_20220604,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220604,20220604
WKO00_S_20220611_20220611,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220611,20220611
WKO00_S_20220521_20220521,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220521,20220521
WKO00_S_20220528_20220528,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220528,20220528
WKO00_S_20220514_20220514,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220514,20220514
WKO00_S_20220507_20220507,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220507,20220507
WKO00_S_20220423_20220423,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220423,20220423
WKO00_S_20220430_20220430,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220430,20220430
WKO00_S_20220416_20220416,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220416,20220416
WKO00_S_20220409_20220409,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220409,20220409
WKO00_S_20220402_20220402,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220402,20220402
